"Current_year_Rank","Game","Total_Earnings","Total_Players","Total_Tournaments","Year"
134,"Halo 3","$800.00","12 Players","1 Tournament",2018
135,"Ultra Street Fighter IV","$680.81","9 Players","3 Tournaments",2018
136,"Street Fighter Alpha 2","$680.00","8 Players","3 Tournaments",2018
137,"Windjammers","$665.41","7 Players","3 Tournaments",2018
138,"Koihime Enbu","$590.00","3 Players","1 Tournament",2018
139,"Quake Live","$500.00","2 Players","1 Tournament",2018
140,"Street Fighter X Tekken","$500.00","5 Players","2 Tournaments",2018
141,"Puyo Puyo Tetris","$466.67","6 Players","2 Tournaments",2018
142,"Catherine","$450.00","5 Players","2 Tournaments",2018
143,"Dengeki Bunko: Fighting Climax Ignition","$450.00","11 Players","2 Tournaments",2018
144,"SNK Heroines: Tag Team Frenzy","$430.00","3 Players","1 Tournament",2018
145,"Arcana Heart 3: Love Max Six Stars!!!!!","$410.00","6 Players","2 Tournaments",2018
146,"Quake II","$379.50","2 Players","1 Tournament",2018
147,"TrackMania 2: Canyon","$369.60","3 Players","1 Tournament",2018
148,"Street Fighter Alpha 3","$300.00","3 Players","1 Tournament",2018
149,"Xonotic","$277.75","10 Players","3 Tournaments",2018
150,"Divekick","$250.00","3 Players","1 Tournament",2018
151,"Dead or Alive 5: Last Round","$240.00","3 Players","1 Tournament",2018
152,"TrackMania Nations Forever","$235.20","3 Players","1 Tournament",2018
153,"Tatsunoko vs. Capcom: Ultimate All-Stars","$230.00","3 Players","1 Tournament",2018
154,"Mario Kart 8 Deluxe","$220.00","4 Players","1 Tournament",2018
155,"Super Mario Party","$220.00","4 Players","1 Tournament",2018
156,"Warsow","$183.00","2 Players","1 Tournament",2018
157,"Reflex","$163.66","12 Players","3 Tournaments",2018
158,"Street Fighter EX2 Plus","$160.00","3 Players","1 Tournament",2018
159,"Capcom vs. SNK 2","$150.00","3 Players","1 Tournament",2018
160,"Persona 4 Arena Ultimax","$120.00","3 Players","1 Tournament",2018
161,"Garou: Mark of the Wolves","$108.71","4 Players","1 Tournament",2018
162,"Samurai Shodown V Special","$108.71","4 Players","1 Tournament",2018
163,"Soul Calibur II HD Online","$85.41","4 Players","1 Tournament",2018
164,"Soul Calibur V","$77.64","4 Players","1 Tournament",2018
165,"Lethal League Blaze","$11.40","1 Player","1 Tournament",2018
1,"Fortnite","$80,686,809.01","3474 Players","503 Tournaments",2019
2,"Dota 2","$47,108,906.81","1442 Players","234 Tournaments",2019
3,"Counter-Strike: Global Offensive","$22,302,043.71","4013 Players","955 Tournaments",2019
4,"PLAYERUNKNOWN’S BATTLEGROUNDS","$11,603,431.56","1705 Players","148 Tournaments",2019
5,"Arena of Valor","$10,721,766.60","597 Players","28 Tournaments",2019
6,"League of Legends","$10,412,069.35","2176 Players","210 Tournaments",2019
7,"Overwatch","$9,593,646.85","1258 Players","62 Tournaments",2019
8,"Call of Duty: Black Ops 4","$6,391,689.00","343 Players","45 Tournaments",2019
9,"Rainbow Six Siege","$5,151,238.68","1190 Players","122 Tournaments",2019
10,"Hearthstone","$4,520,391.64","657 Players","111 Tournaments",2019
11,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$4,201,598.78","923 Players","34 Tournaments",2019
12,"Rocket League","$3,315,637.52","899 Players","412 Tournaments",2019
13,"StarCraft II","$3,174,769.59","402 Players","387 Tournaments",2019
14,"Magic: The Gathering Arena","$2,998,000.00","174 Players","37 Tournaments",2019
15,"Apex Legends","$2,863,382.64","686 Players","80 Tournaments",2019
16,"FIFA 19","$2,724,631.44","279 Players","32 Tournaments",2019
17,"Shadowverse","$1,761,477.09","184 Players","35 Tournaments",2019
18,"CrossFire","$1,580,743.16","144 Players","14 Tournaments",2019
19,"Clash of Clans","$1,455,727.00","87 Players","21 Tournaments",2019
20,"Mobile Legends: Bang Bang","$1,397,507.01","390 Players","15 Tournaments",2019
21,"NBA 2K19","$1,330,000.00","78 Players","4 Tournaments",2019
22,"Madden NFL 19","$1,104,992.00","37 Players","4 Tournaments",2019
23,"Auto Chess","$1,076,322.28","72 Players","6 Tournaments",2019
24,"Clash Royale","$1,053,753.00","119 Players","12 Tournaments",2019
25,"Super Smash Bros. Ultimate","$1,049,770.97","1639 Players","969 Tournaments",2019
26,"Street Fighter V: Arcade Edition","$830,119.16","153 Players","49 Tournaments",2019
27,"Free Fire","$825,242.47","414 Players","15 Tournaments",2019
28,"World of WarCraft","$806,000.00","85 Players","28 Tournaments",2019
29,"SMITE","$800,000.00","40 Players","1 Tournament",2019
30,"Tekken 7","$771,813.91","272 Players","100 Tournaments",2019
31,"Madden NFL 20","$703,000.00","32 Players","1 Tournament",2019
32,"Gears 5","$562,000.00","94 Players","10 Tournaments",2019
33,"FIFA Online 4","$553,615.95","137 Players","7 Tournaments",2019
34,"Paladins","$550,000.00","101 Players","6 Tournaments",2019
35,"Brawlhalla","$523,239.00","209 Players","125 Tournaments",2019
36,"Gears of War 4","$507,000.00","79 Players","16 Tournaments",2019
37,"CrossFire Mobile","$502,323.76","64 Players","2 Tournaments",2019
38,"F1 2019","$500,000.00","22 Players","1 Tournament",2019
39,"FIFA 20","$476,358.96","139 Players","21 Tournaments",2019
40,"Teamfight Tactics","$457,684.65","137 Players","12 Tournaments",2019
41,"TEPPEN","$456,721.47","12 Players","1 Tournament",2019
42,"StarCraft: Remastered","$447,087.77","94 Players","79 Tournaments",2019
43,"iRacing.com","$399,642.94","256 Players","23 Tournaments",2019
44,"WarCraft III","$392,598.65","66 Players","41 Tournaments",2019
45,"Forza Motorsport 7","$366,200.00","73 Players","5 Tournaments",2019
46,"Brawl Stars","$354,376.06","89 Players","14 Tournaments",2019
47,"Call of Duty: Modern Warfare","$348,612.50","78 Players","10 Tournaments",2019
48,"Halo 3","$335,200.00","66 Players","9 Tournaments",2019
49,"Heroes of the Storm","$316,914.92","179 Players","29 Tournaments",2019
50,"Mortal Kombat 11","$309,234.68","161 Players","37 Tournaments",2019
51,"Hearthstone Battlegrounds","$300,000.00","16 Players","1 Tournament",2019
52,"Call of Duty: Blackout","$296,608.35","152 Players","12 Tournaments",2019
53,"Point Blank","$263,581.77","117 Players","9 Tournaments",2019
54,"Super Smash Bros. Melee","$229,730.22","386 Players","122 Tournaments",2019
55,"Pro Evolution Soccer 2019","$216,000.00","25 Players","2 Tournaments",2019
56,"Magic: The Gathering Online","$200,000.00","24 Players","1 Tournament",2019
57,"Identity V","$194,456.87","34 Players","2 Tournaments",2019
58,"Minecraft","$159,859.00","34 Players","20 Tournaments",2019
59,"Chess.com","$154,858.11","151 Players","23 Tournaments",2019
60,"Blade & Soul","$152,738.65","49 Players","1 Tournament",2019
61,"Summoners War: Sky Arena","$140,000.00","4 Players","1 Tournament",2019
62,"Age of Empires II","$138,019.31","197 Players","144 Tournaments",2019
63,"Dragon Ball FighterZ","$135,052.77","108 Players","44 Tournaments",2019
64,"Battalion 1944","$128,078.05","97 Players","22 Tournaments",2019
65,"Assetto Corsa","$109,914.10","46 Players","21 Tournaments",2019
66,"Farming Simulator 19","$106,133.10","72 Players","8 Tournaments",2019
67,"Sea of Thieves","$100,000.00","67 Players","4 Tournaments",2019
68,"Old School Runescape","$97,000.00","7 Players","4 Tournaments",2019
69,"Quake Champions","$96,186.51","35 Players","7 Tournaments",2019
70,"rFactor 2","$95,118.59","139 Players","21 Tournaments",2019
71,"Multigaming","$89,274.63","15 Players","2 Tournaments",2019
72,"Soul Calibur VI","$86,074.21","83 Players","30 Tournaments",2019
73,"Big Buck Hunter Arcade","$76,200.00","3 Players","1 Tournament",2019
74,"Dead or Alive 6","$72,206.54","62 Players","18 Tournaments",2019
75,"Artifact Classic","$70,001.60","201 Players","131 Tournaments",2019
76,"Ring of Elysium","$70,000.00","9 Players","4 Tournaments",2019
77,"World of Tanks","$67,665.00","69 Players","2 Tournaments",2019
78,"Pokémon VGC","$66,500.00","29 Players","3 Tournaments",2019
79,"Guns of Boom","$64,800.00","8 Players","7 Tournaments",2019
80,"Samurai Shodown (2019)","$64,499.91","54 Players","14 Tournaments",2019
81,"Onward","$63,000.00","22 Players","1 Tournament",2019
82,"BlazBlue: Cross Tag Battle","$62,376.70","75 Players","23 Tournaments",2019
83,"Age of Empires","$61,270.00","76 Players","35 Tournaments",2019
84,"Guilty Gear Xrd REV 2","$61,006.37","73 Players","25 Tournaments",2019
85,"TrackMania 2: Stadium","$55,760.30","123 Players","85 Tournaments",2019
86,"Stardew Valley","$54,250.00","56 Players","2 Tournaments",2019
87,"RaceRoom Racing Experience","$53,160.00","54 Players","8 Tournaments",2019
88,"Asphalt 9: Legends","$51,520.00","5 Players","2 Tournaments",2019
89,"Borderlands 3","$50,000.00","16 Players","1 Tournament",2019
90,"Halo: Reach","$50,000.00","16 Players","1 Tournament",2019
91,"Splitgate: Arena Warfare","$50,000.00","64 Players","2 Tournaments",2019
92,"WWE 2K20","$50,000.00","20 Players","2 Tournaments",2019
93,"Echo Combat","$46,800.00","16 Players","1 Tournament",2019
94,"BlazBlue: Central Fiction","$39,752.85","35 Players","8 Tournaments",2019
95,"Team Fortress 2","$39,518.63","292 Players","14 Tournaments",2019
96,"Echo Arena","$38,700.00","12 Players","1 Tournament",2019
97,"Under Night In-Birth EXE: Late[st]","$32,610.17","69 Players","18 Tournaments",2019
98,"Project Cars 2","$32,400.00","32 Players","20 Tournaments",2019
99,"King of Fighters XIV","$32,365.70","29 Players","10 Tournaments",2019
100,"Space Junkies","$30,120.00","32 Players","3 Tournaments",2019
101,"Mad Skills Motocross 2","$30,000.00","12 Players","1 Tournament",2019
102,"Street Fighter V","$30,000.00","16 Players","2 Tournaments",2019
103,"The Division 2","$27,250.00","40 Players","2 Tournaments",2019
104,"Gwent","$25,000.00","8 Players","1 Tournament",2019
105,"Dota Underlords","$22,635.68","56 Players","29 Tournaments",2019
106,"NHL 19","$19,700.00","6 Players","6 Tournaments",2019
107,"Sekiro: Shadows Die Twice","$19,596.00","20 Players","1 Tournament",2019
108,"osu!","$18,944.26","99 Players","11 Tournaments",2019
109,"Mordhau","$16,623.00","40 Players","3 Tournaments",2019
110,"Dead By Daylight","$15,000.00","15 Players","3 Tournaments",2019
111,"Gran Turismo Sport","$14,100.00","19 Players","3 Tournaments",2019
112,"Lichess","$13,600.00","38 Players","23 Tournaments",2019
113,"Tetris","$10,075.00","16 Players","2 Tournaments",2019
114,"Age of Empires III","$9,335.00","30 Players","33 Tournaments",2019
115,"Pokkén Tournament DX","$8,218.57","26 Players","10 Tournaments",2019
116,"Project M","$8,117.61","43 Players","13 Tournaments",2019
117,"King of Fighters 98","$7,945.57","7 Players","3 Tournaments",2019
118,"Million Arthur: Arcana Blood","$7,530.00","9 Players","3 Tournaments",2019
119,"Call of Duty: Mobile","$7,200.00","20 Players","1 Tournament",2019
120,"Skullgirls 2nd Encore","$6,110.00","10 Players","3 Tournaments",2019
121,"Super Smash Bros. for Wii U","$5,840.00","12 Players","2 Tournaments",2019
122,"Super Smash Bros.","$5,292.20","26 Players","5 Tournaments",2019
123,"Mystery Game Tournament","$4,035.00","26 Players","3 Tournaments",2019
124,"Black Squad","$4,010.43","20 Players","2 Tournaments",2019
125,"Street Fighter III: 3rd Strike","$3,455.42","23 Players","6 Tournaments",2019
126,"Rivals of Aether","$3,435.00","15 Players","5 Tournaments",2019
127,"Wolfenstein: Enemy Territory","$3,305.09","18 Players","2 Tournaments",2019
128,"Super Street Fighter II Turbo","$3,146.51","26 Players","8 Tournaments",2019
129,"Super Smash Bros. Brawl","$2,706.00","19 Players","4 Tournaments",2019
130,"Vampire Savior","$2,680.00","13 Players","5 Tournaments",2019
131,"Melty Blood: Actress Again Current Code","$2,605.00","17 Players","5 Tournaments",2019
132,"Age of Mythology","$2,577.93","55 Players","21 Tournaments",2019
133,"ARMS","$2,570.86","36 Players","15 Tournaments",2019
134,"Naruto Shippuden: Ultimate Ninja Storm 4","$2,550.00","7 Players","3 Tournaments",2019
135,"Windjammers","$2,466.75","16 Players","4 Tournaments",2019
136,"Lethal League Blaze","$2,422.50","16 Players","6 Tournaments",2019
137,"Puyo Puyo Champions","$2,071.80","9 Players","3 Tournaments",2019
138,"Marvel vs. Capcom: Infinite","$2,010.00","13 Players","5 Tournaments",2019
139,"Ultimate Marvel vs. Capcom 3","$1,778.47","15 Players","7 Tournaments",2019
140,"Ultra Street Fighter IV","$1,705.61","15 Players","5 Tournaments",2019
141,"Injustice 2","$1,610.00","12 Players","4 Tournaments",2019
142,"Killer Instinct (2013)","$1,500.00","11 Players","3 Tournaments",2019
143,"Dengeki Bunko: Fighting Climax Ignition","$1,395.00","13 Players","4 Tournaments",2019
144,"Sailor Moon S","$1,315.13","10 Players","6 Tournaments",2019
145,"Guilty Gear XX Accent Core Plus R","$1,220.00","6 Players","3 Tournaments",2019
146,"Doom II: Hell on Earth","$1,200.00","1 Player","1 Tournament",2019
147,"Quake II","$1,200.00","1 Player","1 Tournament",2019
148,"QuakeWorld","$1,200.00","1 Player","1 Tournament",2019
149,"Power Rangers: Battle for the Grid","$1,150.00","7 Players","3 Tournaments",2019
150,"Counter-Strike: Source","$1,000.00","3 Players","1 Tournament",2019
151,"Virtua Fighter 5: Ultimate Showdown","$1,000.00","5 Players","1 Tournament",2019
152,"Warparty","$1,000.00","4 Players","1 Tournament",2019
153,"Puyo Puyo Tetris","$911.08","14 Players","4 Tournaments",2019
154,"Teenage Mutant Ninja Turtles: Tournament Fighters","$820.00","7 Players","2 Tournaments",2019
155,"Street Fighter Alpha 2","$800.00","8 Players","4 Tournaments",2019
156,"Capcom vs. SNK 2","$790.00","7 Players","3 Tournaments",2019
157,"Soul Calibur II","$780.00","8 Players","3 Tournaments",2019
158,"Kill la Kill the Game: IF","$700.00","6 Players","2 Tournaments",2019
159,"Company of Heroes 2","$605.00","3 Players","4 Tournaments",2019
160,"Koihime Enbu","$585.00","6 Players","2 Tournaments",2019
161,"Persona 4 Arena Ultimax","$560.00","6 Players","2 Tournaments",2019
162,"Mortal Kombat X","$480.00","3 Players","1 Tournament",2019
163,"Tatsunoko vs. Capcom: Ultimate All-Stars","$470.00","5 Players","2 Tournaments",2019
164,"Marvel vs. Capcom 2","$420.00","3 Players","1 Tournament",2019
165,"Fighting EX Layer","$372.96","6 Players","2 Tournaments",2019
166,"TrackMania 2: Canyon","$337.68","3 Players","1 Tournament",2019
167,"Ultra Fight Da! Kyanta 2","$320.00","3 Players","1 Tournament",2019
168,"Mario Kart 8 Deluxe","$279.44","4 Players","2 Tournaments",2019
169,"Samurai Shodown V Special","$251.40","6 Players","2 Tournaments",2019
170,"Street Fighter X Tekken","$250.00","3 Players","1 Tournament",2019
171,"Garou: Mark of the Wolves","$225.00","3 Players","1 Tournament",2019
172,"GRID (2019)","$218.75","3 Players","1 Tournament",2019
173,"ShootMania Storm","$210.60","12 Players","1 Tournament",2019
174,"Acceleration of SUGURI 2","$210.00","3 Players","1 Tournament",2019
175,"Tekken 5: Dark Resurrection","$210.00","4 Players","1 Tournament",2019
176,"Fighter's History Dynamite","$195.00","3 Players","1 Tournament",2019
177,"Street Fighter EX2 Plus","$190.00","3 Players","1 Tournament",2019
178,"Them's Fightin' Herds","$190.00","3 Players","1 Tournament",2019
179,"Catherine: Full Body","$185.00","3 Players","1 Tournament",2019
180,"Catherine","$180.00","3 Players","1 Tournament",2019
181,"Project Justice","$165.00","3 Players","1 Tournament",2019
182,"Virtua Fighter 5 Final Showdown","$160.00","4 Players","1 Tournament",2019
183,"Age of Empires Online","$154.00","4 Players","2 Tournaments",2019
184,"Nitroplus Blasterz: Heroines Infinite Duel","$150.00","3 Players","1 Tournament",2019
185,"Hokuto no Ken","$145.00","3 Players","1 Tournament",2019
186,"Mortal Kombat XL","$140.00","2 Players","1 Tournament",2019
187,"Arcana Heart 3: Love Max Six Stars!!!!!","$110.00","3 Players","1 Tournament",2019
188,"Umineko: Golden Fantasia","$90.00","3 Players","1 Tournament",2019
189,"Aquapazza: Aquaplus Dream Match","$85.00","3 Players","1 Tournament",2019
190,"Virtua Fighter 5","$80.00","1 Player","1 Tournament",2019
191,"Shovel Knight Showdown","$60.00","3 Players","1 Tournament",2019
192,"Mario Tennis Aces","$51.30","3 Players","1 Tournament",2019
193,"Street Fighter Alpha 3","$40.00","1 Player","1 Tournament",2019
194,"Hand of the Gods","$34.20","1 Player","1 Tournament",2019
195,"Guilty Gear","$32.00","3 Players","1 Tournament",2019
196,"Xonotic","$22.82","15 Players","2 Tournaments",2019
197,"Yu-Gi-Oh! Duel Links","$20.00","1 Player","1 Tournament",2019
1,"Fortnite","$18,211,592.74","2626 Players","376 Tournaments",2020
2,"Counter-Strike: Global Offensive","$16,088,293.07","3284 Players","630 Tournaments",2020
3,"Arena of Valor","$10,195,179.42","426 Players","22 Tournaments",2020
4,"Dota 2","$10,126,576.47","1096 Players","174 Tournaments",2020
5,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$8,899,777.68","1171 Players","39 Tournaments",2020
6,"League of Legends","$8,767,906.04","1943 Players","123 Tournaments",2020
7,"Overwatch","$7,278,521.00","750 Players","49 Tournaments",2020
8,"Call of Duty: Modern Warfare","$7,152,172.00","348 Players","71 Tournaments",2020
9,"PLAYERUNKNOWN’S BATTLEGROUNDS","$6,734,990.84","1295 Players","122 Tournaments",2020
10,"Rainbow Six Siege","$6,666,964.75","1150 Players","100 Tournaments",2020
11,"Hearthstone","$4,634,414.54","488 Players","64 Tournaments",2020
12,"Rocket League","$4,420,639.11","1504 Players","785 Tournaments",2020
13,"Call of Duty: Warzone","$2,826,407.12","610 Players","106 Tournaments",2020
14,"Free Fire","$2,539,917.95","553 Players","20 Tournaments",2020
15,"VALORANT","$2,503,127.60","2420 Players","371 Tournaments",2020
16,"CrossFire","$2,473,598.70","172 Players","13 Tournaments",2020
17,"Apex Legends","$2,270,662.23","667 Players","219 Tournaments",2020
18,"StarCraft II","$2,197,004.27","349 Players","489 Tournaments",2020
19,"Magic: The Gathering Arena","$2,186,000.00","103 Players","12 Tournaments",2020
20,"FIFA 20","$2,122,284.60","328 Players","47 Tournaments",2020
21,"Brawl Stars","$1,516,635.74","131 Players","30 Tournaments",2020
22,"Gears 5","$1,381,500.00","142 Players","54 Tournaments",2020
